Serial,Latitude,Longitude,Type,SensorType,Code,BeginTime,EndTime,LAT,LNG
PI040297AD5I209046,-3.252,56.536,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_59qzhs3v,2018-09-13T15:45:01.000Z,2019-02-24T11:23:57.000Z,56.536,-3.252
PI040297AD5I209046,-3.252,56.536,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_59qzhs3v,2018-09-13T15:45:01.000Z,2019-02-24T11:23:57.000Z,56.536,-3.252
PI040297AD5I209046,-3.252,56.536,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_59qzhs3v,2018-09-13T15:45:01.000Z,2019-02-24T11:23:57.000Z,56.536,-3.252
PI040298AD5J214177,-7.192,52.58,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_h6w35axa,2018-09-10T14:23:48.000Z,2019-02-13T15:00:58.000Z,52.58,-7.192
PI040298AD5J214177,-7.192,52.58,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_h6w35axa,2018-09-10T14:23:48.000Z,2019-02-13T15:00:58.000Z,52.58,-7.192
PI040298AD5J214177,-7.192,52.58,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_h6w35axa,2018-09-10T14:23:48.000Z,2019-02-13T15:00:58.000Z,52.58,-7.192
PI040298AD5J214177,-7.192,52.58,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_h6w35axa,2018-09-10T14:23:48.000Z,2019-02-13T15:00:58.000Z,52.58,-7.192
PI040298AD5J214177,-7.192,52.58,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_h6w35axa,2018-09-10T14:23:48.000Z,2019-02-13T15:00:58.000Z,52.58,-7.192
PI040298AD5J214177,-7.192,52.58,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_h6w35axa,2018-09-10T14:23:48.000Z,2019-02-13T15:00:58.000Z,52.58,-7.192
PI040298AD5J214704,-7.191,52.581,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_r33yq6xp,2018-09-10T14:05:14.000Z,2019-02-13T14:58:00.000Z,52.581,-7.191
PI040298AD5J214704,-7.191,52.581,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_r33yq6xp,2018-09-10T14:05:14.000Z,2019-02-13T14:58:00.000Z,52.581,-7.191
PI040298AD5J214704,-7.191,52.581,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_r33yq6xp,2018-09-10T14:05:14.000Z,2019-02-13T14:58:00.000Z,52.581,-7.191
PI040298AD5J214704,-7.191,52.581,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_r33yq6xp,2018-09-10T14:05:14.000Z,2019-02-13T14:58:00.000Z,52.581,-7.191
PI040298AD5J214704,-7.191,52.581,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_r33yq6xp,2018-09-10T14:05:14.000Z,2019-02-13T14:58:00.000Z,52.581,-7.191
PI040298AD5J214704,-7.191,52.581,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_r33yq6xp,2018-09-10T14:05:14.000Z,2019-02-13T14:58:00.000Z,52.581,-7.191
PI040298AD5J215002,-7.192,52.581,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_fvs41a9v,2018-09-10T13:57:40.000Z,2019-04-06T17:32:12.000Z,52.581,-7.192
PI040298AD5J215002,-7.192,52.581,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_fvs41a9v,2018-09-10T13:57:40.000Z,2019-04-06T17:32:12.000Z,52.581,-7.192
PI040298AD5J215002,-7.192,52.581,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_fvs41a9v,2018-09-10T13:57:40.000Z,2019-04-06T17:32:12.000Z,52.581,-7.192
PI040298AD5J215002,-7.192,52.581,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_fvs41a9v,2018-09-10T13:57:40.000Z,2019-04-06T17:32:12.000Z,52.581,-7.192
